"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
1	0.917818179909069	1	1	"CO2"	"Yes"	0.1
2	0.916840971840772	1	1	"CO2"	"Yes"	0.1
3	0.923809003610183	1	1	"CO2"	"Yes"	0.1
4	0.91533724050624	1	1	"CO2"	"Yes"	0.1
5	0.93093155042122	1	1	"CO2"	"Yes"	0.1
6	0.920985659986178	1	1	"CO2"	"Yes"	0.1
7	0.922471567466724	1	1	"CO2"	"Yes"	0.1
8	0.938809189666823	1	1	"CO2"	"Yes"	0.1
9	0.927898550724638	1	1	"CO2"	"Yes"	0.1
10	0.93885464289995	1	1	"CO2"	"Yes"	0.1
11	0.928549732449136	1	1	"CO2"	"Yes"	0.1
12	0.938539855072464	1	1	"CO2"	"Yes"	0.1
13	0.936994108097676	1	1	"CO2"	"Yes"	0.1
14	0.920160072485654	1	1	"CO2"	"Yes"	0.1
15	0.92919361712365	1	1	"CO2"	"Yes"	0.1
16	0.903050491487201	1	1	"CO2"	"Yes"	0.1
17	0.936120225682246	1	1	"CO2"	"Yes"	0.1
18	0.917691852330212	1	1	"CO2"	"Yes"	0.1
19	0.933117615116543	1	1	"CO2"	"Yes"	0.1
20	0.908371636626556	1	1	"CO2"	"Yes"	0.1
21	0.925333101711109	1	1	"CO2"	"Yes"	0.1
22	0.92048004437385	1	1	"CO2"	"Yes"	0.1
23	0.927462315184592	1	1	"CO2"	"Yes"	0.1
24	0.94029104540943	1	1	"CO2"	"Yes"	0.1
25	0.939998422049232	1	1	"CO2"	"Yes"	0.1
26	0.92381891989288	1	1	"CO2"	"Yes"	0.1
27	0.9380680347191	1	1	"CO2"	"Yes"	0.1
28	0.920563308492103	1	1	"CO2"	"Yes"	0.1
29	0.927342693744083	1	1	"CO2"	"Yes"	0.1
30	0.912473549088448	1	1	"CO2"	"Yes"	0.1
1	0.95480350106357	2	2	"CO2"	"Yes"	0.1
2	0.961017010758942	2	2	"CO2"	"Yes"	0.1
3	0.969878084279379	2	2	"CO2"	"Yes"	0.1
4	0.9600145605491	2	2	"CO2"	"Yes"	0.1
5	0.967582034382955	2	2	"CO2"	"Yes"	0.1
6	0.973510648788898	2	2	"CO2"	"Yes"	0.1
7	0.958728251332577	2	2	"CO2"	"Yes"	0.1
8	0.969507606537453	2	2	"CO2"	"Yes"	0.1
9	0.979309463337401	2	2	"CO2"	"Yes"	0.1
10	0.963209916406558	2	2	"CO2"	"Yes"	0.1
11	0.977750083025374	2	2	"CO2"	"Yes"	0.1
12	0.968775798295302	2	2	"CO2"	"Yes"	0.1
13	0.958567841601855	2	2	"CO2"	"Yes"	0.1
14	0.972384493804343	2	2	"CO2"	"Yes"	0.1
15	0.957986526812358	2	2	"CO2"	"Yes"	0.1
16	0.960073620070404	2	2	"CO2"	"Yes"	0.1
17	0.963017828369458	2	2	"CO2"	"Yes"	0.1
18	0.969751891759947	2	2	"CO2"	"Yes"	0.1
19	0.9700360482351	2	2	"CO2"	"Yes"	0.1
20	0.960885812300907	2	2	"CO2"	"Yes"	0.1
21	0.965906620380111	2	2	"CO2"	"Yes"	0.1
22	0.974458735595313	2	2	"CO2"	"Yes"	0.1
23	0.965242391106251	2	2	"CO2"	"Yes"	0.1
24	0.963328246814296	2	2	"CO2"	"Yes"	0.1
25	0.965096606266894	2	2	"CO2"	"Yes"	0.1
26	0.969181413478448	2	2	"CO2"	"Yes"	0.1
27	0.95812136935311	2	2	"CO2"	"Yes"	0.1
28	0.973132758257942	2	2	"CO2"	"Yes"	0.1
29	0.974879925631359	2	2	"CO2"	"Yes"	0.1
30	0.964254302004325	2	2	"CO2"	"Yes"	0.1
1	0.975912732957877	3	3	"CO2"	"Yes"	0.1
2	0.962273276248608	3	3	"CO2"	"Yes"	0.1
3	0.983398660002278	3	3	"CO2"	"Yes"	0.1
