"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"prop_switch_y"
1	0.972790447549235	1	1	"CO2"	0
2	0.973070894842355	1	1	"CO2"	0
3	0.976280234968901	1	1	"CO2"	0
4	0.976138362321673	1	1	"CO2"	0
5	0.975125032903396	1	1	"CO2"	0
6	0.960229962620917	1	1	"CO2"	0
7	0.981399974938914	1	1	"CO2"	0
8	0.963564153238066	1	1	"CO2"	0
9	0.977112096021862	1	1	"CO2"	0
10	0.976790097482292	1	1	"CO2"	0
11	0.970023761820953	1	1	"CO2"	0
12	0.979345407484987	1	1	"CO2"	0
13	0.973643515761742	1	1	"CO2"	0
14	0.972845804385526	1	1	"CO2"	0
15	0.976368753375151	1	1	"CO2"	0
16	0.974565217391304	1	1	"CO2"	0
17	0.979192273924495	1	1	"CO2"	0
18	0.977000457490611	1	1	"CO2"	0
19	0.976748557862737	1	1	"CO2"	0
20	0.976118906327991	1	1	"CO2"	0
21	0.981548052260057	1	1	"CO2"	0
22	0.98144334875122	1	1	"CO2"	0
23	0.983441738291371	1	1	"CO2"	0
24	0.958481326014423	1	1	"CO2"	0
25	0.978163533174348	1	1	"CO2"	0
26	0.978449615963483	1	1	"CO2"	0
27	0.974587468335823	1	1	"CO2"	0
28	0.982259448336751	1	1	"CO2"	0
29	0.978158286340852	1	1	"CO2"	0
30	0.974204019310179	1	1	"CO2"	0
1	0.987078550073943	2	2	"CO2"	0
2	0.98202025981019	2	2	"CO2"	0
3	0.984716941490623	2	2	"CO2"	0
4	0.982503375035281	2	2	"CO2"	0
5	0.986419544674007	2	2	"CO2"	0
6	0.982516566497149	2	2	"CO2"	0
7	0.982579183051353	2	2	"CO2"	0
8	0.985234682846881	2	2	"CO2"	0
9	0.983482803943805	2	2	"CO2"	0
10	0.973519826644827	2	2	"CO2"	0
11	0.982346912186224	2	2	"CO2"	0
12	0.982810954033976	2	2	"CO2"	0
13	0.973167832192872	2	2	"CO2"	0
14	0.988050579807386	2	2	"CO2"	0
15	0.988151886565729	2	2	"CO2"	0
16	0.972781076117087	2	2	"CO2"	0
17	0.98636124552914	2	2	"CO2"	0
18	0.987623815046121	2	2	"CO2"	0
19	0.989154689359888	2	2	"CO2"	0
20	0.987424872861766	2	2	"CO2"	0
21	0.988456777208216	2	2	"CO2"	0
22	0.983482040722947	2	2	"CO2"	0
23	0.978573998833151	2	2	"CO2"	0
24	0.983268788146383	2	2	"CO2"	0
25	0.963923178854134	2	2	"CO2"	0
26	0.978808605894789	2	2	"CO2"	0
27	0.986326327571198	2	2	"CO2"	0
28	0.986264807727356	2	2	"CO2"	0
29	0.982744650289124	2	2	"CO2"	0
30	0.987350192703659	2	2	"CO2"	0
1	0.967404975812025	2	3	"CO2"	0
2	0.985098629636145	2	3	"CO2"	0
3	0.981096283301659	2	3	"CO2"	0
4	0.983565383565384	2	3	"CO2"	0
5	0.979791666666667	2	3	"CO2"	0
6	0.986012392928741	2	3	"CO2"	0
7	0.980488534572268	2	3	"CO2"	0
8	0.979499250270251	2	3	"CO2"	0
9	0.982484473109473	2	3	"CO2"	0
10	0.968197427269832	2	3	"CO2"	0
11	0.987173150338263	2	3	"CO2"	0
12	0.982553174361505	3	3	"CO2"	0
13	0.990579599097854	2	3	"CO2"	0
14	0.987269414513373	2	3	"CO2"	0
15	0.975789010137008	2	3	"CO2"	0
16	0.986296691528451	2	3	"CO2"	0
17	0.97149064572337	3	3	"CO2"	0
18	0.965357254942986	3	3	"CO2"	0
19	0.974485752269922	2	3	"CO2"	0
20	0.977703716435173	3	3	"CO2"	0
21	0.978891004447255	3	3	"CO2"	0
22	0.984375	3	3	"CO2"	0
23	0.980598731884058	2	3	"CO2"	0
24	0.988687214338702	2	3	"CO2"	0
25	0.985947464346091	3	3	"CO2"	0
26	0.985605263734578	3	3	"CO2"	0
27	0.989414580265096	2	3	"CO2"	0
28	0.993916970773797	2	3	"CO2"	0
29	0.983225102511307	2	3	"CO2"	0
30	0.9859141544797	2	3	"CO2"	0
1	0.993029448621554	4	4	"CO2"	0
2	0.988256206815381	4	4	"CO2"	0
3	0.977530653273228	4	4	"CO2"	0
4	0.984284443979496	4	4	"CO2"	0
5	0.985116803525624	4	4	"CO2"	0
6	0.965985716544201	4	4	"CO2"	0
7	0.977330291607422	4	4	"CO2"	0
8	0.986629558815646	4	4	"CO2"	0
9	0.989001719522909	4	4	"CO2"	0
10	0.97894185158207	4	4	"CO2"	0
