"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"prop_switch_x"
1	0.96826089646213	1	1	"CO2"	0.5
2	0.975574764597828	1	1	"CO2"	0.5
3	0.976330319926379	1	1	"CO2"	0.5
4	0.974240487072811	1	1	"CO2"	0.5
5	0.978027151535785	1	1	"CO2"	0.5
6	0.974465352981619	1	1	"CO2"	0.5
7	0.98218180464087	1	1	"CO2"	0.5
8	0.979343809421304	1	1	"CO2"	0.5
9	0.968760110142135	1	1	"CO2"	0.5
10	0.973909402082878	1	1	"CO2"	0.5
11	0.977146318129072	1	1	"CO2"	0.5
12	0.979148857224965	1	1	"CO2"	0.5
13	0.97742887571897	1	1	"CO2"	0.5
14	0.974206301726702	1	1	"CO2"	0.5
15	0.981188349997312	1	1	"CO2"	0.5
16	0.97412560588625	1	1	"CO2"	0.5
17	0.982409247829271	1	1	"CO2"	0.5
18	0.984152292085777	1	1	"CO2"	0.5
19	0.973199407517126	1	1	"CO2"	0.5
20	0.972166104692544	1	1	"CO2"	0.5
21	0.979857802346002	1	1	"CO2"	0.5
22	0.98040600435288	1	1	"CO2"	0.5
23	0.973110065765756	1	1	"CO2"	0.5
24	0.975783573552963	1	1	"CO2"	0.5
25	0.977540171979501	1	1	"CO2"	0.5
26	0.976090226894623	1	1	"CO2"	0.5
27	0.976415513351218	1	1	"CO2"	0.5
28	0.97662555372188	1	1	"CO2"	0.5
29	0.972928593506424	1	1	"CO2"	0.5
30	0.971172679544996	1	1	"CO2"	0.5
1	0.989406690511256	2	2	"CO2"	0.5
2	0.986410153489361	2	2	"CO2"	0.5
3	0.985473388643347	2	2	"CO2"	0.5
4	0.980873173623461	2	2	"CO2"	0.5
5	0.977096200297959	2	2	"CO2"	0.5
6	0.984843773590332	2	2	"CO2"	0.5
7	0.983668087875208	2	2	"CO2"	0.5
8	0.98922522366021	2	2	"CO2"	0.5
9	0.985522958514023	2	2	"CO2"	0.5
10	0.987373096222949	2	2	"CO2"	0.5
11	0.977619376305264	2	2	"CO2"	0.5
12	0.974319113368863	2	2	"CO2"	0.5
13	0.984153677162883	2	2	"CO2"	0.5
14	0.98323356503404	2	2	"CO2"	0.5
15	0.98948319291236	2	2	"CO2"	0.5
16	0.983944839323256	2	2	"CO2"	0.5
17	0.978911383904687	2	2	"CO2"	0.5
18	0.98280130959689	2	2	"CO2"	0.5
19	0.984193571095122	2	2	"CO2"	0.5
20	0.983058531559565	2	2	"CO2"	0.5
21	0.987057467066276	2	2	"CO2"	0.5
22	0.988330415041912	2	2	"CO2"	0.5
23	0.981328452849722	2	2	"CO2"	0.5
24	0.985237567678645	2	2	"CO2"	0.5
25	0.981805976915298	2	2	"CO2"	0.5
26	0.985415760869565	2	2	"CO2"	0.5
27	0.984726699357043	2	2	"CO2"	0.5
28	0.982248790648832	2	2	"CO2"	0.5
29	0.986053709985641	2	2	"CO2"	0.5
30	0.989347788527989	2	2	"CO2"	0.5
1	0.978393403629412	2	3	"CO2"	0.5
2	0.989270080942076	2	3	"CO2"	0.5
3	0.981310510781494	2	3	"CO2"	0.5
4	0.984166047219567	3	3	"CO2"	0.5
5	0.977817116430978	2	3	"CO2"	0.5
6	0.987844541157752	2	3	"CO2"	0.5
7	0.983322119218501	2	3	"CO2"	0.5
8	0.975778498448234	3	3	"CO2"	0.5
9	0.982528724237068	3	3	"CO2"	0.5
10	0.97414990067568	2	3	"CO2"	0.5
11	0.988334833731715	2	3	"CO2"	0.5
12	0.980034895401297	2	3	"CO2"	0.5
13	0.98741357806883	2	3	"CO2"	0.5
14	0.988513883814395	3	3	"CO2"	0.5
15	0.987533690393918	2	3	"CO2"	0.5
16	0.994585424290901	3	3	"CO2"	0.5
17	0.97953716957725	2	3	"CO2"	0.5
18	0.991696737609544	3	3	"CO2"	0.5
19	0.986068561749761	2	3	"CO2"	0.5
20	0.985729922606802	2	3	"CO2"	0.5
21	0.982407639454504	2	3	"CO2"	0.5
22	0.987144097976201	2	3	"CO2"	0.5
23	0.989856883354159	2	3	"CO2"	0.5
24	0.969612338770024	3	3	"CO2"	0.5
25	0.983044121053564	2	3	"CO2"	0.5
26	0.980404592673592	2	3	"CO2"	0.5
27	0.981588768115942	3	3	"CO2"	0.5
28	0.989157020990407	3	3	"CO2"	0.5
29	0.985846005396423	2	3	"CO2"	0.5
30	0.987333762552971	2	3	"CO2"	0.5
1	0.987296909843899	4	4	"CO2"	0.5
2	0.980830611441521	4	4	"CO2"	0.5
3	0.977922712551185	4	4	"CO2"	0.5
4	0.98484222486185	4	4	"CO2"	0.5
5	0.982559674128608	4	4	"CO2"	0.5
6	0.972181200228938	4	4	"CO2"	0.5
7	0.967794517384121	4	4	"CO2"	0.5
8	0.98396890015093	4	4	"CO2"	0.5
9	0.978626765391471	4	4	"CO2"	0.5
10	0.97599103900001	4	4	"CO2"	0.5
11	0.978683906022035	4	4	"CO2"	0.5
12	0.991355153961665	4	4	"CO2"	0.5
13	0.983199425255052	4	4	"CO2"	0.5
14	0.976310312172124	4	4	"CO2"	0.5
15	0.978683172571365	4	4	"CO2"	0.5
16	0.976266673515864	4	4	"CO2"	0.5
17	0.975346014492754	4	4	"CO2"	0.5
18	0.984607864241381	4	4	"CO2"	0.5
19	0.986445666075479	4	4	"CO2"	0.5
20	0.980312013879547	4	4	"CO2"	0.5
21	0.983239143468367	4	4	"CO2"	0.5
22	0.988753623188406	4	4	"CO2"	0.5
23	0.98385606434474	4	4	"CO2"	0.5
24	0.979841199214964	4	4	"CO2"	0.5
25	0.978334342738202	4	4	"CO2"	0.5
26	0.979755153862249	4	4	"CO2"	0.5
27	0.972478743220857	4	4	"CO2"	0.5
28	0.978355567192957	4	4	"CO2"	0.5
29	0.975427411875508	4	4	"CO2"	0.5
30	0.990215775044922	4	4	"CO2"	0.5
1	0.976853956782885	5	5	"CO2"	0.5
2	0.982739627872404	5	5	"CO2"	0.5
3	0.967329175106797	5	5	"CO2"	0.5
4	0.982939796914878	5	5	"CO2"	0.5
5	0.987319150148098	5	5	"CO2"	0.5
6	0.983809748883709	5	5	"CO2"	0.5
7	0.975452097628768	5	5	"CO2"	0.5
8	0.981930117422135	5	5	"CO2"	0.5
9	0.982606702751664	5	5	"CO2"	0.5
10	0.98187441106217	5	5	"CO2"	0.5
11	0.979196420070456	5	5	"CO2"	0.5
12	0.984011516873347	5	5	"CO2"	0.5
13	0.987516011630035	5	5	"CO2"	0.5
14	0.981446803350026	5	5	"CO2"	0.5
15	0.980855244380399	5	5	"CO2"	0.5
16	0.985035117388059	5	5	"CO2"	0.5
17	0.972255612061437	5	5	"CO2"	0.5
18	0.979618193444168	5	5	"CO2"	0.5
19	0.988658038147139	5	5	"CO2"	0.5
20	0.984867060696445	5	5	"CO2"	0.5
21	0.979935420200907	5	5	"CO2"	0.5
22	0.985288485067719	5	5	"CO2"	0.5
23	0.983436694205217	5	5	"CO2"	0.5
24	0.978492289495185	5	5	"CO2"	0.5
25	0.981581080278507	5	5	"CO2"	0.5
26	0.983953207262412	5	5	"CO2"	0.5
27	0.98774187768753	5	5	"CO2"	0.5
28	0.978757974761811	5	5	"CO2"	0.5
29	0.982032390410982	5	5	"CO2"	0.5
30	0.983957052342458	5	5	"CO2"	0.5
1	0.983926640899359	6	6	"CO2"	0.5
2	0.97501799817713	6	6	"CO2"	0.5
3	0.9840904608507	6	6	"CO2"	0.5
4	0.978177249038364	6	6	"CO2"	0.5
5	0.973967027636291	6	6	"CO2"	0.5
6	0.961509478373289	6	6	"CO2"	0.5
7	0.972357335186311	6	6	"CO2"	0.5
8	0.986343500178217	6	6	"CO2"	0.5
9	0.975184259928853	6	6	"CO2"	0.5
10	0.982931064270905	6	6	"CO2"	0.5
11	0.988893440152071	6	6	"CO2"	0.5
12	0.978265441107748	6	6	"CO2"	0.5
13	0.981543554079736	6	6	"CO2"	0.5
14	0.979305141789157	6	6	"CO2"	0.5
15	0.976740287348942	6	6	"CO2"	0.5
16	0.98286462011382	6	6	"CO2"	0.5
17	0.978379625634542	6	6	"CO2"	0.5
18	0.978941370362578	6	6	"CO2"	0.5
19	0.981229104146506	6	6	"CO2"	0.5
20	0.986530203506628	6	6	"CO2"	0.5
21	0.988247970782139	6	6	"CO2"	0.5
22	0.973504555400694	6	6	"CO2"	0.5
23	0.979174154386806	6	6	"CO2"	0.5
24	0.980890945803477	6	6	"CO2"	0.5
25	0.967538604555079	6	6	"CO2"	0.5
26	0.977403740143012	6	6	"CO2"	0.5
27	0.976664238634143	6	6	"CO2"	0.5
28	0.982251560417982	6	6	"CO2"	0.5
29	0.976854427941617	6	6	"CO2"	0.5
30	0.980396661306379	6	6	"CO2"	0.5
1	0.974301074078584	7	7	"CO2"	0.5
2	0.985221412868388	7	7	"CO2"	0.5
3	0.985449570948887	6	7	"CO2"	0.5
4	0.9747475007376	7	7	"CO2"	0.5
5	0.977959688949332	7	7	"CO2"	0.5
6	0.987633007358565	6	7	"CO2"	0.5
7	0.981933756821429	7	7	"CO2"	0.5
8	0.981216249386352	7	7	"CO2"	0.5
9	0.975898976685879	7	7	"CO2"	0.5
10	0.977419377377804	7	7	"CO2"	0.5
11	0.9745499308915	7	7	"CO2"	0.5
12	0.990051352434453	7	7	"CO2"	0.5
