"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"prop_switch_x"	"q_to_switch"
1	0.968342931578226	1	1	"CO2"	0.1	1
2	0.975784809672443	1	1	"CO2"	0.1	1
3	0.981307105679784	1	1	"CO2"	0.1	1
4	0.981403020653711	1	1	"CO2"	0.1	1
5	0.978075556990636	1	1	"CO2"	0.1	1
6	0.979488070250745	1	1	"CO2"	0.1	1
7	0.972958689184489	1	1	"CO2"	0.1	1
8	0.982792678731652	1	1	"CO2"	0.1	1
9	0.973085908463417	1	1	"CO2"	0.1	1
10	0.971812733431773	1	1	"CO2"	0.1	1
11	0.983122924628783	1	1	"CO2"	0.1	1
12	0.98065924009644	1	1	"CO2"	0.1	1
13	0.976988217967599	1	1	"CO2"	0.1	1
14	0.982267900676532	1	1	"CO2"	0.1	1
15	0.982411294083881	1	1	"CO2"	0.1	1
16	0.982658295824707	1	1	"CO2"	0.1	1
17	0.973196306258635	1	1	"CO2"	0.1	1
18	0.977645270563711	1	1	"CO2"	0.1	1
19	0.980481938614261	1	1	"CO2"	0.1	1
20	0.980835054039474	1	1	"CO2"	0.1	1
21	0.986907834787312	1	1	"CO2"	0.1	1
22	0.975743260396726	1	1	"CO2"	0.1	1
23	0.97775999944103	1	1	"CO2"	0.1	1
24	0.982340011664324	1	1	"CO2"	0.1	1
25	0.984869562139393	1	1	"CO2"	0.1	1
26	0.983215708056968	1	1	"CO2"	0.1	1
27	0.976782761436227	1	1	"CO2"	0.1	1
28	0.96702721738693	1	1	"CO2"	0.1	1
29	0.980202467952558	1	1	"CO2"	0.1	1
30	0.97925794747754	1	1	"CO2"	0.1	1
1	0.98737535481658	2	2	"CO2"	0.1	1
2	0.984182908807613	2	2	"CO2"	0.1	1
3	0.988451297012379	2	2	"CO2"	0.1	1
4	0.983704507947538	2	2	"CO2"	0.1	1
5	0.979020424032302	2	2	"CO2"	0.1	1
6	0.984386442096454	2	2	"CO2"	0.1	1
7	0.981919370442666	2	2	"CO2"	0.1	1
8	0.982240039767288	2	2	"CO2"	0.1	1
9	0.985342349203735	2	2	"CO2"	0.1	1
10	0.990489331628189	2	2	"CO2"	0.1	1
11	0.978526194886228	2	2	"CO2"	0.1	1
12	0.984556588204638	2	2	"CO2"	0.1	1
13	0.987708516242318	2	2	"CO2"	0.1	1
14	0.986387340081921	2	2	"CO2"	0.1	1
15	0.984820397796616	2	2	"CO2"	0.1	1
16	0.988916917487636	2	2	"CO2"	0.1	1
17	0.990491508874708	2	2	"CO2"	0.1	1
18	0.984107847805458	2	2	"CO2"	0.1	1
19	0.988445817506657	2	2	"CO2"	0.1	1
20	0.984310423733847	2	2	"CO2"	0.1	1
21	0.983291912088964	2	2	"CO2"	0.1	1
22	0.980448266985447	2	2	"CO2"	0.1	1
23	0.985061430742916	2	2	"CO2"	0.1	1
24	0.98942883538352	2	2	"CO2"	0.1	1
25	0.987290888560757	2	2	"CO2"	0.1	1
26	0.986085997201593	2	2	"CO2"	0.1	1
27	0.97922015375636	2	2	"CO2"	0.1	1
28	0.979954419865195	2	2	"CO2"	0.1	1
29	0.986473079162862	2	2	"CO2"	0.1	1
30	0.988500626143917	2	2	"CO2"	0.1	1
1	0.984946440912232	3	3	"CO2"	0.1	1
2	0.985479275069909	3	3	"CO2"	0.1	1
3	0.980486550182274	3	3	"CO2"	0.1	1
4	0.989075321653997	2	3	"CO2"	0.1	1
5	0.981943995981775	3	3	"CO2"	0.1	1
6	0.983379013911606	2	3	"CO2"	0.1	1
7	0.990302278668615	2	3	"CO2"	0.1	1
8	0.980994565217391	2	3	"CO2"	0.1	1
9	0.985291348467413	3	3	"CO2"	0.1	1
10	0.980716001904946	3	3	"CO2"	0.1	1
11	0.988017090493675	3	3	"CO2"	0.1	1
12	0.993192019075671	2	3	"CO2"	0.1	1
13	0.985578884202932	2	3	"CO2"	0.1	1
14	0.982474558152047	2	3	"CO2"	0.1	1
15	0.984032423631022	2	3	"CO2"	0.1	1
16	0.979995398392977	2	3	"CO2"	0.1	1
17	0.982952302430469	2	3	"CO2"	0.1	1
18	0.982745743513504	2	3	"CO2"	0.1	1
19	0.982635038532622	2	3	"CO2"	0.1	1
20	0.980605563234278	2	3	"CO2"	0.1	1
21	0.983481326014423	3	3	"CO2"	0.1	1
22	0.981632663775633	2	3	"CO2"	0.1	1
23	0.975176756709806	2	3	"CO2"	0.1	1
24	0.982404266630725	2	3	"CO2"	0.1	1
25	0.987024785857481	3	3	"CO2"	0.1	1
26	0.985335056329605	2	3	"CO2"	0.1	1
27	0.975348529920932	3	3	"CO2"	0.1	1
28	0.983589263292234	2	3	"CO2"	0.1	1
29	0.986087032050725	2	3	"CO2"	0.1	1
30	0.98725174037674	2	3	"CO2"	0.1	1
1	0.982552809920662	4	4	"CO2"	0.1	1
2	0.97188995215311	4	4	"CO2"	0.1	1
3	0.983845017671573	4	4	"CO2"	0.1	1
4	0.968777643400138	4	4	"CO2"	0.1	1
5	0.979795851477267	4	4	"CO2"	0.1	1
6	0.976317852655306	4	4	"CO2"	0.1	1
7	0.977052425510778	4	4	"CO2"	0.1	1
8	0.984844865095663	4	4	"CO2"	0.1	1
9	0.987581986262459	4	4	"CO2"	0.1	1
10	0.986156765206466	4	4	"CO2"	0.1	1
11	0.981659828880006	4	4	"CO2"	0.1	1
12	0.980402173913044	4	4	"CO2"	0.1	1
13	0.976749772073778	4	4	"CO2"	0.1	1
14	0.975010999067279	4	4	"CO2"	0.1	1
15	0.985891132266276	4	4	"CO2"	0.1	1
16	0.986805474282999	4	4	"CO2"	0.1	1
17	0.988030267429938	4	4	"CO2"	0.1	1
18	0.97702162772518	4	4	"CO2"	0.1	1
19	0.987558776766686	4	4	"CO2"	0.1	1
20	0.990338942484719	4	4	"CO2"	0.1	1
21	0.978750067666324	4	4	"CO2"	0.1	1
22	0.975859491235026	4	4	"CO2"	0.1	1
23	0.965001946155161	4	4	"CO2"	0.1	1
24	0.98685588998089	4	4	"CO2"	0.1	1
25	0.980680702076694	4	4	"CO2"	0.1	1
26	0.975305112306345	4	4	"CO2"	0.1	1
27	0.977375023058476	4	4	"CO2"	0.1	1
28	0.972298913043478	4	4	"CO2"	0.1	1
29	0.983609629903384	4	4	"CO2"	0.1	1
30	0.979068772953665	4	4	"CO2"	0.1	1
1	0.984569021125625	5	5	"CO2"	0.1	1
2	0.980098162290337	5	5	"CO2"	0.1	1
3	0.981979985475051	5	5	"CO2"	0.1	1
4	0.989051630434783	5	5	"CO2"	0.1	1
5	0.979060070031814	5	5	"CO2"	0.1	1
6	0.979700366768781	5	5	"CO2"	0.1	1
7	0.982778602362605	5	5	"CO2"	0.1	1
8	0.992450039925091	5	5	"CO2"	0.1	1
9	0.984437022231573	5	5	"CO2"	0.1	1
10	0.978064796317207	5	5	"CO2"	0.1	1
11	0.988898068780337	5	5	"CO2"	0.1	1
12	0.976509531785914	5	5	"CO2"	0.1	1
13	0.985320941544341	5	5	"CO2"	0.1	1
14	0.977508515764549	5	5	"CO2"	0.1	1
15	0.988698700956893	5	5	"CO2"	0.1	1
16	0.992854947166186	5	5	"CO2"	0.1	1
17	0.986444957542358	5	5	"CO2"	0.1	1
18	0.983428678025121	5	5	"CO2"	0.1	1
19	0.982504385159252	5	5	"CO2"	0.1	1
20	0.985103850961456	5	5	"CO2"	0.1	1
21	0.958831037472305	5	5	"CO2"	0.1	1
22	0.985203207581556	5	5	"CO2"	0.1	1
23	0.965005361451166	5	5	"CO2"	0.1	1
24	0.981692645674234	5	5	"CO2"	0.1	1
25	0.979750059312834	5	5	"CO2"	0.1	1
26	0.97791824605983	5	5	"CO2"	0.1	1
27	0.984304776783803	5	5	"CO2"	0.1	1
28	0.983225673470956	5	5	"CO2"	0.1	1
29	0.988972286577733	5	5	"CO2"	0.1	1
30	0.985680552091128	5	5	"CO2"	0.1	1
1	0.974421796454714	6	6	"CO2"	0.1	1
2	0.977854640951215	6	6	"CO2"	0.1	1
3	0.974686370622689	6	6	"CO2"	0.1	1
4	0.985034357062802	6	6	"CO2"	0.1	1
5	0.967647674330843	6	6	"CO2"	0.1	1
6	0.976289593588172	6	6	"CO2"	0.1	1
7	0.966929201885881	6	6	"CO2"	0.1	1
8	0.975714939373141	6	6	"CO2"	0.1	1
9	0.980686551870085	6	6	"CO2"	0.1	1
10	0.982224386137625	6	6	"CO2"	0.1	1
11	0.990258612463021	6	6	"CO2"	0.1	1
12	0.987024690950563	6	6	"CO2"	0.1	1
13	0.9783313814349	6	6	"CO2"	0.1	1
14	0.982084759098977	6	6	"CO2"	0.1	1
15	0.977964716542008	6	6	"CO2"	0.1	1
16	0.982077637857425	6	6	"CO2"	0.1	1
17	0.97259134739851	6	6	"CO2"	0.1	1
18	0.98325457505929	6	6	"CO2"	0.1	1
19	0.977930810305408	6	6	"CO2"	0.1	1
20	0.983054074638233	6	6	"CO2"	0.1	1
21	0.989158139183627	6	6	"CO2"	0.1	1
22	0.978766281351204	6	6	"CO2"	0.1	1
23	0.96963866786403	6	6	"CO2"	0.1	1
24	0.977403607658186	6	6	"CO2"	0.1	1
25	0.986677804978289	6	6	"CO2"	0.1	1
26	0.976054861690977	6	6	"CO2"	0.1	1
27	0.991378525853047	6	6	"CO2"	0.1	1
28	0.96141060688901	6	6	"CO2"	0.1	1
29	0.979541254185804	6	6	"CO2"	0.1	1
30	0.972945022202294	6	6	"CO2"	0.1	1
1	0.977932402331603	7	7	"CO2"	0.1	1
2	0.95838862018291	6	7	"CO2"	0.1	1
3	0.98339174251142	6	7	"CO2"	0.1	1
4	0.988601972834788	7	7	"CO2"	0.1	1
5	0.977869023956481	7	7	"CO2"	0.1	1
6	0.984385287794515	7	7	"CO2"	0.1	1
7	0.976761864909161	7	7	"CO2"	0.1	1
8	0.973709127526928	6	7	"CO2"	0.1	1
9	0.974764878279696	7	7	"CO2"	0.1	1
10	0.97323226613342	7	7	"CO2"	0.1	1
11	0.972205276098571	7	7	"CO2"	0.1	1
12	0.983184782608696	7	7	"CO2"	0.1	1
13	0.976354580671127	7	7	"CO2"	0.1	1
14	0.973959291939588	7	7	"CO2"	0.1	1
15	0.988131719206691	7	7	"CO2"	0.1	1
16	0.977364295196068	7	7	"CO2"	0.1	1
17	0.985920772744708	7	7	"CO2"	0.1	1
18	0.987061362494545	7	7	"CO2"	0.1	1
19	0.985576131310729	7	7	"CO2"	0.1	1
20	0.976806753629287	7	7	"CO2"	0.1	1
21	0.985579271530211	7	7	"CO2"	0.1	1
22	0.984313791820304	7	7	"CO2"	0.1	1
23	0.981663876974579	7	7	"CO2"	0.1	1
24	0.969089026766264	7	7	"CO2"	0.1	1
25	0.979912293941071	6	7	"CO2"	0.1	1
26	0.977033291192583	7	7	"CO2"	0.1	1
27	0.979832693947144	7	7	"CO2"	0.1	1
28	0.984144959375109	6	7	"CO2"	0.1	1
29	0.984932579366389	7	7	"CO2"	0.1	1
30	0.984326218540937	7	7	"CO2"	0.1	1
1	0.979423699223515	8	8	"CO2"	0.1	1
2	0.974413169590809	7	8	"CO2"	0.1	1
3	0.978567701443396	8	8	"CO2"	0.1	1
4	0.979484232274513	6	8	"CO2"	0.1	1
5	0.991461063336063	8	8	"CO2"	0.1	1
6	0.984238031018206	8	8	"CO2"	0.1	1
7	0.971116998175975	8	8	"CO2"	0.1	1
8	0.974227818217588	8	8	"CO2"	0.1	1
9	0.981207309375452	8	8	"CO2"	0.1	1
10	0.984559085411223	7	8	"CO2"	0.1	1
11	0.974273129996436	7	8	"CO2"	0.1	1
12	0.990779532452751	8	8	"CO2"	0.1	1
13	0.976802530243196	6	8	"CO2"	0.1	1
14	0.979302075242884	7	8	"CO2"	0.1	1
15	0.983818271919578	7	8	"CO2"	0.1	1
16	0.987598225647588	8	8	"CO2"	0.1	1
17	0.967792112645855	7	8	"CO2"	0.1	1
18	0.978701844345809	7	8	"CO2"	0.1	1
19	0.974811235276352	8	8	"CO2"	0.1	1
20	0.975083701007801	8	8	"CO2"	0.1	1
21	0.978047424650395	8	8	"CO2"	0.1	1
22	0.969365897707824	7	8	"CO2"	0.1	1
23	0.973705947618398	7	8	"CO2"	0.1	1
24	0.984581340628894	8	8	"CO2"	0.1	1
25	0.981369966775121	7	8	"CO2"	0.1	1
26	0.97520102739484	6	8	"CO2"	0.1	1
27	0.975921473096941	6	8	"CO2"	0.1	1
28	0.977057600423222	8	8	"CO2"	0.1	1
29	0.982748301605468	7	8	"CO2"	0.1	1
30	0.980763951216937	8	8	"CO2"	0.1	1
1	0.980943067516929	8	9	"CO2"	0.1	1
2	0.971914864189125	8	9	"CO2"	0.1	1
3	0.987245006112081	9	9	"CO2"	0.1	1
4	0.984668180138324	8	9	"CO2"	0.1	1
5	0.975124539782468	8	9	"CO2"	0.1	1
6	0.981394404790095	7	9	"CO2"	0.1	1
7	0.979629390971353	7	9	"CO2"	0.1	1
8	0.977737238355258	8	9	"CO2"	0.1	1
9	0.968753294272472	9	9	"CO2"	0.1	1
10	0.981021685068104	8	9	"CO2"	0.1	1
11	0.978579716079716	8	9	"CO2"	0.1	1
12	0.98471404476361	9	9	"CO2"	0.1	1
13	0.979265736053587	7	9	"CO2"	0.1	1
14	0.978172500651437	8	9	"CO2"	0.1	1
15	0.982827407673953	8	9	"CO2"	0.1	1
16	0.972710857710496	9	9	"CO2"	0.1	1
17	0.979695431472081	9	9	"CO2"	0.1	1
18	0.980758260682381	8	9	"CO2"	0.1	1
19	0.982441551604489	6	9	"CO2"	0.1	1
20	0.980195391313582	8	9	"CO2"	0.1	1
21	0.978297685937301	8	9	"CO2"	0.1	1
22	0.980068245898838	8	9	"CO2"	0.1	1
23	0.980734113147319	9	9	"CO2"	0.1	1
24	0.984888419355893	9	9	"CO2"	0.1	1
25	0.975801732011772	8	9	"CO2"	0.1	1
26	0.97564857205145	8	9	"CO2"	0.1	1
27	0.96925642427556	7	9	"CO2"	0.1	1
28	0.973998560548281	9	9	"CO2"	0.1	1
29	0.976566171389081	7	9	"CO2"	0.1	1
30	0.983771256082758	9	9	"CO2"	0.1	1
1	0.983009692024308	10	10	"CO2"	0.1	1
2	0.97595924973817	10	10	"CO2"	0.1	1
3	0.986014396787423	7	10	"CO2"	0.1	1
4	0.975721390128056	6	10	"CO2"	0.1	1
5	0.980082944360441	10	10	"CO2"	0.1	1
6	0.976617680565049	8	10	"CO2"	0.1	1
7	0.980723098012337	9	10	"CO2"	0.1	1
8	0.976043624686717	8	10	"CO2"	0.1	1
9	0.976426968254026	10	10	"CO2"	0.1	1
10	0.973401558344802	9	10	"CO2"	0.1	1
11	0.981567028985507	9	10	"CO2"	0.1	1
12	0.975190258751903	8	10	"CO2"	0.1	1
13	0.978559906876195	9	10	"CO2"	0.1	1
14	0.984178167186854	6	10	"CO2"	0.1	1
15	0.982146854513476	6	10	"CO2"	0.1	1
16	0.978232681772505	9	10	"CO2"	0.1	1
17	0.968484843511513	7	10	"CO2"	0.1	1
18	0.981550545733515	6	10	"CO2"	0.1	1
19	0.973963803027842	9	10	"CO2"	0.1	1
20	0.97927361666316	9	10	"CO2"	0.1	1
21	0.957391201430156	8	10	"CO2"	0.1	1
22	0.980391879765127	10	10	"CO2"	0.1	1
23	0.982798808724543	9	10	"CO2"	0.1	1
24	0.981739788465938	9	10	"CO2"	0.1	1
25	0.97689353481037	9	10	"CO2"	0.1	1
26	0.979219002611615	9	10	"CO2"	0.1	1
27	0.962947444439902	7	10	"CO2"	0.1	1
28	0.983769427503443	9	10	"CO2"	0.1	1
29	0.984401521802751	8	10	"CO2"	0.1	1
30	0.974018747592347	9	10	"CO2"	0.1	1
1	0.982976957361194	10	11	"CO2"	0.1	1
2	0.983764340207193	7	11	"CO2"	0.1	1
3	0.984465386953878	9	11	"CO2"	0.1	1
4	0.980156192911947	11	11	"CO2"	0.1	1
5	0.983143022397154	10	11	"CO2"	0.1	1
6	0.976484411437592	10	11	"CO2"	0.1	1
7	0.973133065931845	8	11	"CO2"	0.1	1
8	0.979101208234629	10	11	"CO2"	0.1	1
9	0.979044770232069	10	11	"CO2"	0.1	1
10	0.966536990175387	8	11	"CO2"	0.1	1
11	0.97474529545727	9	11	"CO2"	0.1	1
12	0.970551223123139	7	11	"CO2"	0.1	1
13	0.978537925075603	8	11	"CO2"	0.1	1
14	0.98120743360963	6	11	"CO2"	0.1	1
15	0.980125340319515	9	11	"CO2"	0.1	1
16	0.979717029644682	9	11	"CO2"	0.1	1
17	0.984738431613432	6	11	"CO2"	0.1	1
18	0.979020410141376	7	11	"CO2"	0.1	1
19	0.98261594453368	7	11	"CO2"	0.1	1
20	0.983970257309857	9	11	"CO2"	0.1	1
21	0.976070144075521	6	11	"CO2"	0.1	1
22	0.971163085370361	9	11	"CO2"	0.1	1
23	0.984684898720589	10	11	"CO2"	0.1	1
24	0.987296260786194	9	11	"CO2"	0.1	1
25	0.968157675956885	7	11	"CO2"	0.1	1
26	0.971428443793221	10	11	"CO2"	0.1	1
27	0.979760893419702	8	11	"CO2"	0.1	1
28	0.97787948530181	10	11	"CO2"	0.1	1
29	0.967745184114032	11	11	"CO2"	0.1	1
30	0.984100974159965	8	11	"CO2"	0.1	1
1	0.988497677345663	8	12	"CO2"	0.1	1
2	0.982685688405797	10	12	"CO2"	0.1	1
3	0.982419469997206	7	12	"CO2"	0.1	1
4	0.985066430501923	9	12	"CO2"	0.1	1
5	0.974851647227338	9	12	"CO2"	0.1	1
6	0.981269658262286	10	12	"CO2"	0.1	1
7	0.981539201005675	9	12	"CO2"	0.1	1
8	0.978555253623188	9	12	"CO2"	0.1	1
9	0.969816230918205	7	12	"CO2"	0.1	1
10	0.979201443878497	9	12	"CO2"	0.1	1
11	0.971497506547555	6	12	"CO2"	0.1	1
12	0.971361286680466	8	12	"CO2"	0.1	1
13	0.983658561293058	9	12	"CO2"	0.1	1
14	0.988000836907626	9	12	"CO2"	0.1	1
15	0.983523701257691	10	12	"CO2"	0.1	1
16	0.972807536797796	8	12	"CO2"	0.1	1
17	0.979856771505793	8	12	"CO2"	0.1	1
18	0.973315382610962	9	12	"CO2"	0.1	1
19	0.971074821415421	7	12	"CO2"	0.1	1
20	0.980750753909811	9	12	"CO2"	0.1	1
21	0.987947117281957	9	12	"CO2"	0.1	1
22	0.983016423234839	8	12	"CO2"	0.1	1
23	0.978316116043434	7	12	"CO2"	0.1	1
24	0.990209414024976	8	12	"CO2"	0.1	1
25	0.973110672542099	7	12	"CO2"	0.1	1
26	0.980933689630733	9	12	"CO2"	0.1	1
27	0.961530940178509	7	12	"CO2"	0.1	1
28	0.979187985993637	7	12	"CO2"	0.1	1
29	0.969692825583842	8	12	"CO2"	0.1	1
30	0.977411574997892	10	12	"CO2"	0.1	1
1	0.980293617925029	9	13	"CO2"	0.1	1
2	0.989085129116549	11	13	"CO2"	0.1	1
3	0.978480746121815	9	13	"CO2"	0.1	1
4	0.983939894032832	8	13	"CO2"	0.1	1
5	0.98108541075293	8	13	"CO2"	0.1	1
6	0.973755874417025	8	13	"CO2"	0.1	1
7	0.978271199734319	7	13	"CO2"	0.1	1
8	0.980577725842961	7	13	"CO2"	0.1	1
9	0.988089250809685	11	13	"CO2"	0.1	1
10	0.979630798522366	9	13	"CO2"	0.1	1
11	0.979622744669218	10	13	"CO2"	0.1	1
12	0.977057740872319	9	13	"CO2"	0.1	1
13	0.973344904972298	7	13	"CO2"	0.1	1
14	0.984695058742225	8	13	"CO2"	0.1	1
15	0.97231456169127	6	13	"CO2"	0.1	1
16	0.979631133379406	10	13	"CO2"	0.1	1
17	0.974522571302201	11	13	"CO2"	0.1	1
18	0.979851726726727	7	13	"CO2"	0.1	1
19	0.969176929129536	8	13	"CO2"	0.1	1
20	0.976814628275534	9	13	"CO2"	0.1	1
21	0.977934617786103	6	13	"CO2"	0.1	1
22	0.978842800850856	9	13	"CO2"	0.1	1
23	0.984907822429351	6	13	"CO2"	0.1	1
24	0.980707762557078	12	13	"CO2"	0.1	1
25	0.984846167593465	12	13	"CO2"	0.1	1
26	0.976196265905085	9	13	"CO2"	0.1	1
