"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
1	0.686285103465904	1	1	"Churn"	"Yes"	0
2	0.668560878530667	1	1	"Churn"	"Yes"	0
3	0.696049568670409	1	1	"Churn"	"Yes"	0
4	0.698354637823664	1	1	"Churn"	"Yes"	0
5	0.766047764155623	1	1	"Churn"	"Yes"	0
6	0.666461412151067	1	1	"Churn"	"Yes"	0
7	0.68819883632684	1	1	"Churn"	"Yes"	0
8	0.665542450163922	1	1	"Churn"	"Yes"	0
9	0.672898603082852	1	1	"Churn"	"Yes"	0
10	0.696213415130073	1	1	"Churn"	"Yes"	0
11	0.672231161169214	1	1	"Churn"	"Yes"	0
12	0.711203081888698	1	1	"Churn"	"Yes"	0
13	0.641544510180754	1	1	"Churn"	"Yes"	0
14	0.68685257653984	1	1	"Churn"	"Yes"	0
15	0.69236296858158	1	1	"Churn"	"Yes"	0
16	0.68183676756663	1	1	"Churn"	"Yes"	0
17	0.696482337343725	1	1	"Churn"	"Yes"	0
18	0.676719612944452	1	1	"Churn"	"Yes"	0
19	0.703761138187368	1	1	"Churn"	"Yes"	0
20	0.5	0	1	"Churn"	"Yes"	0
21	0.692586239756051	1	1	"Churn"	"Yes"	0
22	0.723692007389592	1	1	"Churn"	"Yes"	0
23	0.681805659186133	1	1	"Churn"	"Yes"	0
24	0.722437126487044	1	1	"Churn"	"Yes"	0
25	0.693847277374595	1	1	"Churn"	"Yes"	0
26	0.716603296715478	1	1	"Churn"	"Yes"	0
27	0.720253849501829	1	1	"Churn"	"Yes"	0
28	0.684744654199599	1	1	"Churn"	"Yes"	0
29	0.71905459108973	1	1	"Churn"	"Yes"	0
30	0.701302035576747	1	1	"Churn"	"Yes"	0
1	0.688006756756757	2	2	"Churn"	"Yes"	0
2	0.691489361702128	2	2	"Churn"	"Yes"	0
3	0.70668200355537	2	2	"Churn"	"Yes"	0
4	0.725870769665102	2	2	"Churn"	"Yes"	0
5	0.731603366422098	2	2	"Churn"	"Yes"	0
6	0.685479028085735	2	2	"Churn"	"Yes"	0
7	0.699632107023411	2	2	"Churn"	"Yes"	0
8	0.722726998491704	2	2	"Churn"	"Yes"	0
9	0.681300579693509	2	2	"Churn"	"Yes"	0
10	0.678961540138665	2	2	"Churn"	"Yes"	0
11	0.880048438394081	2	2	"Churn"	"Yes"	0
12	0.700822160384518	2	2	"Churn"	"Yes"	0
13	0.677734375	2	2	"Churn"	"Yes"	0
14	0.700520833333333	2	2	"Churn"	"Yes"	0
15	0.69891975308642	2	2	"Churn"	"Yes"	0
16	0.691412852362316	2	2	"Churn"	"Yes"	0
17	0.674155773420479	2	2	"Churn"	"Yes"	0
18	0.698594046090837	2	2	"Churn"	"Yes"	0
19	0.702630467571644	2	2	"Churn"	"Yes"	0
20	0.870197132838539	2	2	"Churn"	"Yes"	0
21	0.718478829634152	2	2	"Churn"	"Yes"	0
22	0.675148974501109	2	2	"Churn"	"Yes"	0
23	0.670554398842503	2	2	"Churn"	"Yes"	0
24	0.672410256410256	2	2	"Churn"	"Yes"	0
25	0.713420187199595	2	2	"Churn"	"Yes"	0
26	0.707610629627504	2	2	"Churn"	"Yes"	0
27	0.689026199278835	2	2	"Churn"	"Yes"	0
28	0.66296059722943	2	2	"Churn"	"Yes"	0
29	0.694075494089187	2	2	"Churn"	"Yes"	0
30	0.6912164788185	2	2	"Churn"	"Yes"	0
1	0.900026220911177	3	3	"Churn"	"Yes"	0
2	0.717138180967968	2	3	"Churn"	"Yes"	0
3	0.714059815711385	2	3	"Churn"	"Yes"	0
4	0.703673818693074	2	3	"Churn"	"Yes"	0
5	0.708024132730015	2	3	"Churn"	"Yes"	0
6	0.885938290338897	3	3	"Churn"	"Yes"	0
7	0.69226310049934	2	3	"Churn"	"Yes"	0
8	0.904384261257373	3	3	"Churn"	"Yes"	0
9	0.686237904627356	2	3	"Churn"	"Yes"	0
10	0.877717019822283	3	3	"Churn"	"Yes"	0
11	0.894560372117062	3	3	"Churn"	"Yes"	0
12	0.690697702121577	2	3	"Churn"	"Yes"	0
13	0.904309866962306	3	3	"Churn"	"Yes"	0
14	0.90014479638009	3	3	"Churn"	"Yes"	0
15	0.71122754491018	2	3	"Churn"	"Yes"	0
16	0.879481145612122	3	3	"Churn"	"Yes"	0
17	0.901940496642199	3	3	"Churn"	"Yes"	0
18	0.87604900973481	3	3	"Churn"	"Yes"	0
19	0.707100591715976	2	3	"Churn"	"Yes"	0
20	0.692681786298808	2	3	"Churn"	"Yes"	0
21	0.667595789574641	2	3	"Churn"	"Yes"	0
22	0.684644538174705	2	3	"Churn"	"Yes"	0
23	0.897898706896552	3	3	"Churn"	"Yes"	0
24	0.710916245627672	2	3	"Churn"	"Yes"	0
25	0.896883598057593	3	3	"Churn"	"Yes"	0
26	0.735854570960954	2	3	"Churn"	"Yes"	0
27	0.916607001545013	3	3	"Churn"	"Yes"	0
28	0.70776651467762	2	3	"Churn"	"Yes"	0
29	0.918662782333477	3	3	"Churn"	"Yes"	0
30	0.717936261173727	2	3	"Churn"	"Yes"	0
1	0.903562448686371	4	4	"Churn"	"Yes"	0
2	0.924141583054627	4	4	"Churn"	"Yes"	0
3	0.906758130081301	4	4	"Churn"	"Yes"	0
4	0.916072717430531	4	4	"Churn"	"Yes"	0
5	0.907845649470551	4	4	"Churn"	"Yes"	0
6	0.9466837826273	4	4	"Churn"	"Yes"	0
7	0.898656295043301	4	4	"Churn"	"Yes"	0
8	0.891585578842315	4	4	"Churn"	"Yes"	0
9	0.93561092270068	4	4	"Churn"	"Yes"	0
10	0.929011066309932	4	4	"Churn"	"Yes"	0
11	0.90625	4	4	"Churn"	"Yes"	0
12	0.916055389221557	4	4	"Churn"	"Yes"	0
13	0.920425622568312	4	4	"Churn"	"Yes"	0
14	0.901913126361656	4	4	"Churn"	"Yes"	0
15	0.910130266075388	4	4	"Churn"	"Yes"	0
