"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"q_noisy_var"	"noise_level"
1	0.984323206950658	1	1	"CO2"	1	10
2	0.974857987177078	1	1	"CO2"	1	10
3	0.96817038239106	1	1	"CO2"	1	10
4	0.98702653690593	1	1	"CO2"	1	10
5	0.983048229849942	1	1	"CO2"	1	10
6	0.979578198349217	1	1	"CO2"	1	10
7	0.979419424447049	1	1	"CO2"	1	10
8	0.975512886139459	1	1	"CO2"	1	10
9	0.977546195652174	1	1	"CO2"	1	10
10	0.979586603351007	1	1	"CO2"	1	10
11	0.979727809978407	1	1	"CO2"	1	10
12	0.971499332264014	1	1	"CO2"	1	10
13	0.97558833515001	1	1	"CO2"	1	10
14	0.977084432763182	1	1	"CO2"	1	10
15	0.973840085640667	1	1	"CO2"	1	10
16	0.983339949692251	1	1	"CO2"	1	10
17	0.979847039150108	1	1	"CO2"	1	10
18	0.969877778594454	1	1	"CO2"	1	10
19	0.977619096369096	1	1	"CO2"	1	10
20	0.977802227146776	1	1	"CO2"	1	10
21	0.971099831685251	1	1	"CO2"	1	10
22	0.97548316873739	1	1	"CO2"	1	10
23	0.983112441593974	1	1	"CO2"	1	10
24	0.97435972557515	1	1	"CO2"	1	10
25	0.972353706016845	1	1	"CO2"	1	10
26	0.984252855357866	1	1	"CO2"	1	10
27	0.983376877737602	1	1	"CO2"	1	10
28	0.978986555113705	1	1	"CO2"	1	10
29	0.976809793315651	1	1	"CO2"	1	10
30	0.976996671919052	1	1	"CO2"	1	10
1	0.979923428145042	2	2	"CO2"	1	10
2	0.984648320216036	2	2	"CO2"	1	10
3	0.977623197820242	2	2	"CO2"	1	10
4	0.990031634919567	2	2	"CO2"	1	10
5	0.990866286653682	2	2	"CO2"	1	10
6	0.982043460191582	2	2	"CO2"	1	10
7	0.980703740362773	2	2	"CO2"	1	10
8	0.985389929167543	2	2	"CO2"	1	10
9	0.982799808886765	2	2	"CO2"	1	10
10	0.986702420848399	2	2	"CO2"	1	10
11	0.985972207692576	2	2	"CO2"	1	10
12	0.98079671402142	2	2	"CO2"	1	10
13	0.988718390865396	2	2	"CO2"	1	10
14	0.982296796413159	2	2	"CO2"	1	10
15	0.980274817924156	2	2	"CO2"	1	10
16	0.991392381993804	2	2	"CO2"	1	10
17	0.982383379405667	2	2	"CO2"	1	10
18	0.989793349008593	2	2	"CO2"	1	10
19	0.981856102413168	2	2	"CO2"	1	10
20	0.98269831586342	2	2	"CO2"	1	10
21	0.986927810889117	2	2	"CO2"	1	10
22	0.986607142857143	2	2	"CO2"	1	10
23	0.986862537941675	2	2	"CO2"	1	10
24	0.981279620853081	2	2	"CO2"	1	10
25	0.984999661716451	2	2	"CO2"	1	10
26	0.98676215966514	2	2	"CO2"	1	10
27	0.989060172564009	2	2	"CO2"	1	10
28	0.986292912256013	2	2	"CO2"	1	10
29	0.985313705051166	2	2	"CO2"	1	10
30	0.987793730310386	2	2	"CO2"	1	10
1	0.981921923492694	2	3	"CO2"	1	10
2	0.979212022254475	3	3	"CO2"	1	10
3	0.984478520661217	3	3	"CO2"	1	10
4	0.97876963817203	2	3	"CO2"	1	10
5	0.98682491564265	3	3	"CO2"	1	10
6	0.983658514492754	2	3	"CO2"	1	10
7	0.982565308732189	2	3	"CO2"	1	10
8	0.983450054834421	2	3	"CO2"	1	10
9	0.982905594953292	2	3	"CO2"	1	10
10	0.98510528879987	2	3	"CO2"	1	10
11	0.984511989972623	2	3	"CO2"	1	10
12	0.991105671154631	3	3	"CO2"	1	10
13	0.986366413768522	2	3	"CO2"	1	10
14	0.986795898300323	2	3	"CO2"	1	10
15	0.985520942143159	2	3	"CO2"	1	10
16	0.982771400098591	2	3	"CO2"	1	10
17	0.987831413913106	3	3	"CO2"	1	10
18	0.98709097654623	3	3	"CO2"	1	10
19	0.985084384844165	2	3	"CO2"	1	10
20	0.983783999857871	3	3	"CO2"	1	10
21	0.983264320220842	3	3	"CO2"	1	10
22	0.987664001900979	2	3	"CO2"	1	10
23	0.985841729527295	2	3	"CO2"	1	10
24	0.98020190396485	2	3	"CO2"	1	10
25	0.98382130865031	3	3	"CO2"	1	10
26	0.986250944291798	2	3	"CO2"	1	10
27	0.985294885449951	2	3	"CO2"	1	10
28	0.987940122806894	3	3	"CO2"	1	10
29	0.985994002162011	2	3	"CO2"	1	10
30	0.980773987726491	2	3	"CO2"	1	10
1	0.979033401923554	4	4	"CO2"	1	10
2	0.989840381535646	4	4	"CO2"	1	10
3	0.980511384539917	4	4	"CO2"	1	10
4	0.962378790278584	4	4	"CO2"	1	10
5	0.983820806270841	4	4	"CO2"	1	10
6	0.989278060207337	4	4	"CO2"	1	10
7	0.980340385271241	4	4	"CO2"	1	10
8	0.974753565983752	4	4	"CO2"	1	10
9	0.974460474159693	4	4	"CO2"	1	10
10	0.983654812030338	4	4	"CO2"	1	10
11	0.98720457255067	4	4	"CO2"	1	10
12	0.977130340651534	4	4	"CO2"	1	10
13	0.987121584679694	4	4	"CO2"	1	10
14	0.982213050979331	4	4	"CO2"	1	10
15	0.984369565217391	4	4	"CO2"	1	10
16	0.974220936047068	4	4	"CO2"	1	10
17	0.984664861205146	4	4	"CO2"	1	10
18	0.989152024446142	4	4	"CO2"	1	10
19	0.98152683706929	4	4	"CO2"	1	10
20	0.977238906926407	4	4	"CO2"	1	10
21	0.988858496872714	4	4	"CO2"	1	10
22	0.974367837125294	4	4	"CO2"	1	10
23	0.978378717755534	4	4	"CO2"	1	10
24	0.981586098268104	4	4	"CO2"	1	10
