"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"q_noisy_var"	"prop_noise_x"
1	0.983496561004785	1	1	"CO2"	1	0
2	0.984614123994655	1	1	"CO2"	1	0
3	0.965376434076089	1	1	"CO2"	1	0
4	0.972850047435683	1	1	"CO2"	1	0
5	0.980955087605334	1	1	"CO2"	1	0
6	0.97712337186488	1	1	"CO2"	1	0
7	0.969855036031507	1	1	"CO2"	1	0
8	0.967401268387336	1	1	"CO2"	1	0
9	0.978024773358394	1	1	"CO2"	1	0
10	0.975007074458236	1	1	"CO2"	1	0
11	0.968365221361412	1	1	"CO2"	1	0
12	0.982233127768609	1	1	"CO2"	1	0
13	0.968149507534915	1	1	"CO2"	1	0
14	0.972168239601226	1	1	"CO2"	1	0
15	0.973749912336068	1	1	"CO2"	1	0
16	0.974314636192852	1	1	"CO2"	1	0
17	0.968819960246888	1	1	"CO2"	1	0
18	0.975960853839143	1	1	"CO2"	1	0
19	0.974654014257975	1	1	"CO2"	1	0
20	0.977604700672135	1	1	"CO2"	1	0
21	0.982813034005468	1	1	"CO2"	1	0
22	0.978434858745957	1	1	"CO2"	1	0
23	0.982137221650003	1	1	"CO2"	1	0
24	0.974788196478005	1	1	"CO2"	1	0
25	0.968759514224823	1	1	"CO2"	1	0
26	0.980390309063295	1	1	"CO2"	1	0
27	0.977948492829968	1	1	"CO2"	1	0
28	0.975631532097045	1	1	"CO2"	1	0
29	0.975512886139459	1	1	"CO2"	1	0
30	0.981598505933342	1	1	"CO2"	1	0
1	0.978716233822635	2	2	"CO2"	1	0
2	0.984877594538833	2	2	"CO2"	1	0
3	0.977146980052623	2	2	"CO2"	1	0
4	0.971092792296623	2	2	"CO2"	1	0
5	0.986542443064182	2	2	"CO2"	1	0
6	0.983525018352821	2	2	"CO2"	1	0
7	0.988111601816929	2	2	"CO2"	1	0
8	0.978760894278136	2	2	"CO2"	1	0
9	0.988353116260344	2	2	"CO2"	1	0
10	0.990080112700918	2	2	"CO2"	1	0
11	0.99134281639077	2	2	"CO2"	1	0
12	0.988794206946163	2	2	"CO2"	1	0
13	0.981441738866309	2	2	"CO2"	1	0
14	0.977753064762024	2	2	"CO2"	1	0
15	0.976435494000034	2	2	"CO2"	1	0
16	0.983006902561358	2	2	"CO2"	1	0
17	0.986657804401965	2	2	"CO2"	1	0
18	0.983593014372768	2	2	"CO2"	1	0
19	0.994367078141963	2	2	"CO2"	1	0
20	0.981155327957118	2	2	"CO2"	1	0
21	0.990548402426619	2	2	"CO2"	1	0
22	0.98769730733519	2	2	"CO2"	1	0
23	0.986059986366735	2	2	"CO2"	1	0
